year,n_nodes,n_edges,coverage_ratio,n_isolated_R,avg_degree,gcc_ratio,avg_path_length_gcc,avg_clustering,fuel_type
2010,2,1,0.0,2,1.0,1.0,,,H2
2014,3,1,0.0,3,0.6666666666666666,0.6666666666666666,,,H2
2015,4,1,0.0,4,0.5,0.5,,,H2
2017,7,1,0.0,7,0.2857142857142857,0.2857142857142857,,,H2
2018,11,6,0.0,11,1.0909090909090908,0.2727272727272727,,,H2
2019,27,32,0.5185185185185185,13,2.3703703703703702,0.2222222222222222,,,H2
2020,52,85,0.6153846153846154,20,3.269230769230769,0.17307692307692307,,,H2
2021,101,329,0.7920792079207921,21,6.514851485148514,0.5346534653465347,,,H2
2022,147,690,0.8367346938775511,24,9.387755102040817,0.54421768707483,,,H2
2023,183,1039,0.8306010928961749,31,11.3551912568306,0.7103825136612022,,,H2
2024,232,1607,0.853448275862069,34,13.85344827586207,0.9568965517241379,,,H2
2025,241,1734,0.8713692946058091,31,14.390041493775934,0.9543568464730291,,,H2
